x,y,z,particle_type,experiment,fold
5417.091,1120.574,567.527,beta-amylase,TS_5_4,0
4340.0,1220.0,365.0,beta-amylase,TS_5_4,0
4908.973,1745.891,279.668,beta-amylase,TS_5_4,0
5153.2,4595.2,420.8,beta-amylase,TS_5_4,0
1500.0,4212.222,1016.667,beta-amylase,TS_5_4,0
1068.16,3620.736,1033.129,beta-amylase,TS_5_4,0
1025.185,2153.333,1215.556,beta-amylase,TS_5_4,0
1750.0,2648.75,881.25,beta-amylase,TS_5_4,0
2609.328,2513.109,1131.555,beta-amylase,TS_5_4,0
3634.655,3226.691,1280.655,beta-amylase,TS_5_4,0
1959.181,701.502,371.229,beta-galactosidase,TS_5_4,0
2135.713,4459.195,936.655,beta-galactosidase,TS_5_4,0
3449.782,5052.93,511.041,beta-galactosidase,TS_5_4,0
4623.597,3652.095,1161.66,beta-galactosidase,TS_5_4,0
1390.238,4121.667,570.595,beta-galactosidase,TS_5_4,0
1317.617,2292.128,1089.064,beta-galactosidase,TS_5_4,0
3540.625,1851.25,50.0,beta-galactosidase,TS_5_4,0
5421.651,1158.868,563.302,beta-galactosidase,TS_5_4,0
5132.863,4594.658,436.41,beta-galactosidase,TS_5_4,0
455.241,2838.414,623.402,beta-galactosidase,TS_5_4,0
766.848,1452.913,700.413,beta-galactosidase,TS_5_4,0
4048.927,5220.881,1249.54,beta-galactosidase,TS_5_4,0
4601.271,601.066,600.934,ribosome,TS_5_4,0
4803.789,455.425,514.016,ribosome,TS_5_4,0
4715.436,825.374,802.166,ribosome,TS_5_4,0
5003.275,782.745,802.48,ribosome,TS_5_4,0
710.459,3815.845,1405.435,ribosome,TS_5_4,0
2421.852,1141.637,663.19,ribosome,TS_5_4,0
691.64,897.383,288.35,ribosome,TS_5_4,0
948.219,2155.294,372.13,ribosome,TS_5_4,0
1910.761,755.539,1052.241,ribosome,TS_5_4,0
1610.634,232.123,1068.46,ribosome,TS_5_4,0
4217.488,4192.518,941.839,ribosome,TS_5_4,0
4725.193,4090.105,1110.456,ribosome,TS_5_4,0
2545.405,3069.551,1119.704,ribosome,TS_5_4,0
4091.497,2159.453,874.047,ribosome,TS_5_4,0
3986.554,1885.673,744.371,ribosome,TS_5_4,0
3822.144,1883.156,1000.826,ribosome,TS_5_4,0
2803.199,2701.106,336.099,ribosome,TS_5_4,0
3189.676,2565.629,306.801,ribosome,TS_5_4,0
3526.519,2317.862,1059.979,ribosome,TS_5_4,0
4632.091,2990.234,244.138,ribosome,TS_5_4,0
4620.799,2802.16,513.43,ribosome,TS_5_4,0
4809.673,2925.589,730.053,ribosome,TS_5_4,0
5072.909,2902.993,763.206,ribosome,TS_5_4,0
4790.666,2517.002,489.436,ribosome,TS_5_4,0
4805.633,2619.184,874.657,ribosome,TS_5_4,0
5056.98,2532.435,877.002,ribosome,TS_5_4,0
3397.301,4660.778,1309.286,ribosome,TS_5_4,0
2843.556,6150.71,818.754,ribosome,TS_5_4,0
4195.391,3961.637,866.076,ribosome,TS_5_4,0
4142.395,2205.03,1126.4,ribosome,TS_5_4,0
4356.021,3945.454,1156.437,ribosome,TS_5_4,0
4527.706,221.468,279.908,thyroglobulin,TS_5_4,0
5458.275,3743.418,332.075,thyroglobulin,TS_5_4,0
5086.266,5378.977,411.051,thyroglobulin,TS_5_4,0
2091.242,489.208,433.742,thyroglobulin,TS_5_4,0
