FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.000084929,0.000000000,0.001584786
0.125787579,0.000084929,0.000000000,0.001584786
0.126575158,0.000097440,0.000000000,0.001631321
0.127362736,0.000102479,0.000000000,0.001650165
0.128150315,0.000102479,0.000000000,0.001650165
0.128937894,0.000116722,0.000000000,0.001687764
0.129725473,0.000130964,0.000000000,0.001694915
0.130513051,0.000130964,0.000000000,0.001694915
0.131300630,0.000152085,0.000000000,0.001699235
0.132088209,0.000169509,0.000000000,0.001700680
0.132875788,0.000169509,0.000000000,0.001700680
0.133663366,0.000193344,0.000000000,0.001742160
0.134450945,0.000221965,0.000000000,0.001765225
0.135238524,0.000250371,0.000000000,0.001765225
0.136026103,0.000250371,0.000000000,0.001765225
0.136813681,0.000285070,0.000000000,0.002367798
0.137601260,0.000319128,0.000000000,0.002427184
0.138388839,0.000319128,0.000000000,0.002427184
0.139176418,0.000342301,0.000000000,0.002467105
0.139963996,0.000364878,0.000000000,0.002487562
0.140751575,0.000364878,0.000000000,0.002487562
0.141539154,0.000405186,0.000000000,0.002504174
0.142326733,0.000428237,0.000000000,0.002516778
0.143114311,0.000450293,0.000000000,0.002516778
0.143901890,0.000450293,0.000000000,0.002516778
0.144689469,0.000476821,0.000000000,0.002518892
0.145477048,0.000526717,0.000000000,0.002527380
0.146264626,0.000526717,0.000000000,0.002527380
0.147052205,0.000543491,0.000000000,0.002531646
0.147839784,0.000573841,0.000000000,0.002533784
0.148627363,0.000573841,0.000000000,0.002533784
0.149414941,0.000594308,0.000000000,0.002533784
0.150202520,0.000622815,0.000000000,0.002535926
0.150990099,0.000649034,0.000000000,0.002542373
0.151777678,0.000649034,0.000000000,0.002542373
0.152565257,0.000665152,0.000000000,0.002548853
0.153352835,0.000681169,0.000000000,0.002551020
0.154140414,0.000681169,0.000000000,0.002551020
0.154927993,0.000710601,0.000000000,0.002570694
0.155715572,0.000741470,0.000000000,0.002586207
0.156503150,0.000741470,0.000000000,0.002586207
0.157290729,0.000753456,0.000000000,0.002588438
0.158078308,0.000773640,0.000000000,0.002601908
0.158865887,0.000782314,0.000000000,0.002601908
0.159653465,0.000782314,0.000000000,0.002601908
0.160441044,0.000793777,0.000000000,0.002617801
0.161228623,0.000812236,0.000000000,0.002629273
0.162016202,0.000812236,0.000000000,0.002629273
0.162803780,0.000825824,0.000000000,0.002631579
0.163591359,0.000835158,0.000000000,0.002631579
0.164378938,0.000835158,0.000000000,0.002631579
0.165166517,0.000840200,0.000000000,0.002631579
0.165954095,0.000845374,0.000000000,0.002631579
0.166741674,0.000845374,0.000000000,0.002631579
0.167529253,0.000845374,0.000000000,0.002631579
0.168316832,0.000851405,0.000000000,0.002631579
0.169104410,0.000851405,0.000000000,0.002631579
0.169891989,0.000851405,0.000000000,0.002631579
0.170679568,0.000854822,0.000000000,0.002631579
0.171467147,0.000854822,0.000000000,0.002631579
0.172254725,0.000854822,0.000000000,0.002631579
0.173042304,0.000855602,0.000000000,0.002631579
0.173829883,0.000859813,0.000000000,0.002631579
0.174617462,0.000859813,0.000000000,0.002631579
0.175405041,0.000859813,0.000000000,0.002631579
0.176192619,0.000859813,0.000000000,0.002631579
0.176980198,0.000859813,0.000000000,0.002631579
0.177767777,0.000859813,0.000000000,0.002631579
0.178555356,0.000859813,0.000000000,0.002631579
0.179342934,0.000859813,0.000000000,0.002631579
0.180130513,0.000859813,0.000000000,0.002631579
0.180918092,0.000859813,0.000000000,0.002631579
0.181705671,0.000859813,0.000000000,0.002631579
0.182493249,0.000860631,0.000000000,0.002631579
0.183280828,0.000860631,0.000000000,0.002631579
0.184068407,0.000860631,0.000000000,0.002631579
0.184855986,0.000860631,0.000000000,0.002631579
0.185643564,0.000860631,0.000000000,0.002631579
0.186431143,0.000860631,0.000000000,0.002631579
0.187218722,0.000860631,0.000000000,0.002631579
0.188006301,0.000860631,0.000000000,0.002631579
0.188793879,0.000860631,0.000000000,0.002631579
0.189581458,0.000861545,0.000000000,0.002631579
0.190369037,0.000861545,0.000000000,0.002631579
0.191156616,0.000861545,0.000000000,0.002631579
0.191944194,0.000861545,0.000000000,0.002631579
0.192731773,0.000861545,0.000000000,0.002631579
0.193519352,0.000861545,0.000000000,0.002631579
0.194306931,0.000861545,0.000000000,0.002631579
0.195094509,0.000861545,0.000000000,0.002631579
